,Fonte,Sexo,Local,Taxa de desocupação,Nível da ocupação,Participação,Renda habitual total,Renda habitual principal,Renda efetiva total,Renda efetiva principal
0,1° Tri. 2016,,Brasil,11.04,55.9,62.83,3114.68,3032.95,3442.15,3356.33
1,1° Tri. 2016,Homem,Brasil,9.46,67.21,74.23,3441.34,3357.19,3771.63,3684.78
2,1° Tri. 2016,Mulher,Brasil,13.13,45.34,52.19,2652.41,2574.02,2975.86,2891.43
3,1° Tri. 2016,,Ceará,10.9,48.06,53.94,2081.1,2023.84,2207.46,2147.29
4,1° Tri. 2016,Homem,Ceará,9.89,60.23,66.84,2189.8,2138.4,2317.23,2262.14
5,1° Tri. 2016,Mulher,Ceará,12.39,36.85,42.06,1914.71,1848.44,2039.41,1971.44
6,1° Tri. 2016,,Nordeste,12.94,49.84,57.25,2085.11,2009.93,2256.65,2175.81
7,1° Tri. 2016,Homem,Nordeste,11.28,62.17,70.07,2187.67,2120.0,2341.31,2270.77
8,1° Tri. 2016,Mulher,Nordeste,15.29,38.52,45.47,1928.22,1841.56,2127.15,2030.53
9,2° Tri. 2016,,Brasil,11.42,55.7,62.88,3076.61,2996.66,3093.74,3016.07
10,2° Tri. 2016,Homem,Brasil,9.84,66.7,73.98,3391.84,3306.91,3409.23,3326.9
11,2° Tri. 2016,Mulher,Brasil,13.51,45.44,52.53,2635.48,2562.46,2652.25,2581.05
12,2° Tri. 2016,,Ceará,11.57,49.58,56.06,2053.48,2003.45,2041.39,1991.45
13,2° Tri. 2016,Homem,Ceará,10.46,60.98,68.1,2178.51,2134.35,2158.29,2114.4
14,2° Tri. 2016,Mulher,Ceará,13.11,39.1,45.0,1871.38,1812.74,1871.12,1812.32
15,2° Tri. 2016,,Nordeste,13.37,49.46,57.09,2071.96,2003.49,2056.31,1991.13
16,2° Tri. 2016,Homem,Nordeste,11.84,61.36,69.6,2178.91,2111.41,2156.38,2092.44
17,2° Tri. 2016,Mulher,Nordeste,15.51,38.56,45.65,1911.83,1841.85,1906.48,1839.39
18,3° Tri. 2016,,Brasil,11.9,55.01,62.43,3101.59,3022.03,3118.2,3039.27
19,3° Tri. 2016,Homem,Brasil,10.42,65.75,73.4,3424.99,3340.04,3439.05,3354.46
20,3° Tri. 2016,Mulher,Brasil,13.83,44.98,52.2,2650.95,2578.8,2671.11,2599.98
21,3° Tri. 2016,,Ceará,13.25,48.28,55.66,1958.96,1927.35,1965.96,1935.17
22,3° Tri. 2016,Homem,Ceará,12.07,59.92,68.14,2068.74,2041.3,2075.51,2048.42
23,3° Tri. 2016,Mulher,Ceará,14.93,37.6,44.2,1796.48,1758.7,1803.82,1767.55
24,3° Tri. 2016,,Nordeste,14.23,48.06,56.04,2061.84,1993.68,2061.17,1994.18
25,3° Tri. 2016,Homem,Nordeste,12.76,59.72,68.45,2187.38,2118.05,2178.76,2111.04
26,3° Tri. 2016,Mulher,Nordeste,16.3,37.4,44.68,1873.37,1806.9,1884.63,1818.69
27,4° Tri. 2016,,Brasil,12.13,55.05,62.65,3128.75,3042.17,3228.69,3141.73
28,4° Tri. 2016,Homem,Brasil,10.63,65.66,73.47,3449.99,3358.03,3542.5,3451.94
29,4° Tri. 2016,Mulher,Brasil,14.1,45.15,52.55,2683.27,2604.09,2793.51,2711.5
30,4° Tri. 2016,,Ceará,12.61,48.43,55.42,2022.28,1979.32,2058.0,2015.71
31,4° Tri. 2016,Homem,Ceará,11.06,59.85,67.29,2136.46,2092.98,2168.71,2125.72
32,4° Tri. 2016,Mulher,Ceará,14.74,37.98,44.55,1854.32,1812.12,1895.13,1853.89
33,4° Tri. 2016,,Nordeste,14.5,47.91,56.04,2096.93,2026.64,2115.07,2047.08
34,4° Tri. 2016,Homem,Nordeste,12.79,59.43,68.14,2208.94,2139.71,2216.37,2150.71
35,4° Tri. 2016,Mulher,Nordeste,16.88,37.37,44.96,1928.81,1856.93,1963.04,1891.55
36,1° Tri. 2017,,Brasil,13.85,54.07,62.76,3167.46,3081.03,3482.3,3393.51
37,1° Tri. 2017,Homem,Brasil,12.06,64.56,73.42,3482.33,3388.08,3809.85,3715.35
38,1° Tri. 2017,Mulher,Brasil,16.17,44.28,52.82,2729.25,2653.65,3026.45,2945.56
39,1° Tri. 2017,,Ceará,14.46,47.52,55.55,2032.39,2000.49,2194.62,2162.68
40,1° Tri. 2017,Homem,Ceará,12.56,58.45,66.84,2163.58,2131.84,2301.25,2272.42
41,1° Tri. 2017,Mulher,Ceará,17.07,37.36,45.06,1837.47,1805.33,2036.17,1999.61
42,1° Tri. 2017,,Nordeste,16.4,46.56,55.69,2162.65,2087.58,2335.13,2256.41
43,1° Tri. 2017,Homem,Nordeste,14.38,57.96,67.69,2271.11,2202.01,2420.4,2349.35
44,1° Tri. 2017,Mulher,Nordeste,19.2,36.07,44.64,1997.32,1913.13,2205.15,2114.73
45,2° Tri. 2017,,Brasil,13.09,54.72,62.96,3135.76,3044.16,3134.67,3045.87
46,2° Tri. 2017,Homem,Brasil,11.43,64.99,73.37,3467.76,3370.18,3462.61,3368.35
47,2° Tri. 2017,Mulher,Brasil,15.21,45.15,53.25,2679.67,2596.22,2684.17,2602.78
48,2° Tri. 2017,,Ceará,13.31,47.87,55.22,2051.06,2001.98,2026.28,1978.0
49,2° Tri. 2017,Homem,Ceará,12.15,58.1,66.14,2217.63,2160.32,2189.68,2133.55
50,2° Tri. 2017,Mulher,Ceará,14.9,38.28,44.98,1808.65,1771.56,1788.5,1751.62
51,2° Tri. 2017,,Nordeste,15.95,46.91,55.81,2159.25,2076.57,2134.66,2053.85
52,2° Tri. 2017,Homem,Nordeste,14.35,57.45,67.08,2295.82,2211.75,2263.59,2181.31
53,2° Tri. 2017,Mulher,Nordeste,18.12,37.21,45.44,1958.97,1878.33,1945.6,1866.93
54,3° Tri. 2017,,Brasil,12.51,55.21,63.11,3148.09,3053.85,3169.6,3079.72
55,3° Tri. 2017,Homem,Brasil,10.94,65.46,73.5,3493.67,3390.81,3506.87,3409.83
